Time,Time Code,Country Name,Country Code,Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]",Final consumption expenditure (% of GDP) [NE.CON.TOTL.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Trade in services (% of GDP) [BG.GSR.NFSV.GD.ZS],"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]
2021,YR2021,Netherlands,NLD,83.06591698,72.7954224,155.8613394,89.72950542,28.74408488,21.47603072,-12.99467455,1.508237706,68.2534747,17.88116474,36.99122608,69.40792781,10.84012297,17533044,4.315704495,4.863219149
2021,YR2021,Switzerland,CHE,71.37129447,59.47951503,130.8508095,88.10822057,34.02171094,26.04990897,-16.76944751,-12.39020158,62.0583116,24.59815491,37.20422992,71.92333801,17.9908748,8703405,3.440503207,4.221716577
2021,YR2021,Poland,POL,57.91067506,54.53492219,112.4455972,96.62424713,20.10064004,21.4932613,5.462277196,1.386726369,75.13098583,27.86491958,19.21665412,56.90002241,16.72083441,37747124,7.277862111,6.847760739
2021,YR2021,Sweden,SWE,46.27716018,41.83477236,88.11193254,95.55761217,32.10787565,25.77088414,8.240148594,9.247615916,69.78672804,22.50197728,27.13376126,64.97374607,12.33797263,10415811,4.754798639,5.385840184
2021,YR2021,Belgium,BEL,86.8267422,85.77572166,172.6024639,98.94897946,26.40496577,26.01978305,4.044205098,7.66838535,72.92919641,19.61408188,45.98916555,68.79611622,12.31482618,11592952,5.787660737,6.285931393
2021,YR2021,Ireland,IRL,134.4147927,95.03124372,229.4460365,60.60716255,38.95319934,24.70258474,16.06930901,28.49319287,35.90457782,37.79180925,138.9571918,55.36427388,34.61500883,5033165,12.50988246,13.58824711
2021,YR2021,Norway,NOR,41.73738371,28.80834453,70.54572825,87.07098456,39.10078915,25.59718113,2.891950874,5.71268848,61.47380343,36.34354476,16.99532932,51.81011107,5.611926052,5408320,3.344262233,3.898399067
2021,YR2021,Austria,AUT,55.90030862,55.32198345,111.2222921,99.33712451,28.27025507,27.77971672,2.566072471,4.358617649,71.55740778,25.83396863,28.4181438,62.41391114,16.54585007,8955797,4.102317176,4.556850913
2021,YR2021,Denmark,DNK,59.65853968,52.52171418,112.1802539,92.86317154,32.01879712,22.96894174,4.526891386,9.88303219,69.8942298,19.32007652,45.67979129,66.69793484,11.95612009,5856733,4.402231182,4.855707586
2021,YR2021,Russian Federation,RUS,29.89489634,20.66284785,50.55774419,89.75845375,30.8423838,23.20529214,2.202088546,3.586642943,66.55316161,31.77213467,7.157933324,54.09964147,12.87105348,143449286,6.045474051,5.614290376
2020,YR2020,Germany,DEU,43.01312903,37.38517603,80.39830506,94.372047,29.06334262,22.0899857,4.134044807,3.982623696,72.2820613,26.62110218,16.8552243,63.30407614,18.70474507,83160871,-3.775429714,-3.696788705
2020,YR2020,United Kingdom,GBR,29.23718972,28.87896913,58.11615884,99.64177941,14.05688575,17.25640099,4.898158179,-0.164342622,82.38537842,16.99156331,22.68497667,72.59885077,8.718407428,67081234,-11.35567606,-11.03085846
2020,YR2020,France,FRA,27.45022764,29.41359525,56.86382289,101.9633676,21.41629887,23.7207251,0.733943387,1.079402977,78.24264251,16.4954388,17.92594948,71.15789045,9.26738251,67571107,-8.034474295,-7.784586492
2020,YR2020,Italy,ITA,29.43617352,25.83684879,55.27302232,96.40068129,21.55723389,17.6999806,-1.164390699,-0.015934804,78.7007007,21.56098792,9.488736815,66.89635687,14.59604427,59438851,-8.534686345,-8.979126097
2020,YR2020,Spain,ESP,30.79994526,29.34322252,60.14316778,98.54327726,21.00736812,20.39885902,2.868551752,4.459256441,78.14441824,20.1321301,11.88746187,68.23779125,11.01486687,47365655,-11.75755913,-11.32543832
2020,YR2020,Netherlands,NLD,78.2654765,68.19630146,146.461778,89.93082495,26.90348461,21.75649379,-22.28911061,-31.78680983,68.17433116,17.856829,38.87927099,69.63403764,10.82645977,17441500,-4.418555509,-3.886083918
2020,YR2020,Switzerland,CHE,64.30703188,57.85862401,122.1656559,93.55159214,31.77158317,29.79943162,-32.72917393,-14.89055073,63.75216052,24.81226719,35.21598793,71.76339406,17.73192485,8638167,-3.086282111,-2.37556328
2020,YR2020,Poland,POL,52.9909243,47.33328713,100.3242114,94.34236283,21.15951094,18.75930413,3.194800325,0.835275716,75.5830587,28.34833116,17.85257958,57.16430705,16.47228525,37899070,-1.848440388,-2.020116215
2020,YR2020,Sweden,SWE,43.84730253,39.36370034,83.21100287,95.51639781,31.12142118,25.09686342,3.455753011,4.1373461,70.4195344,21.59068762,25.39030333,65.84370307,12.36082768,10353442,-2.87468419,-2.170213179
2020,YR2020,Belgium,BEL,79.44654886,77.73379751,157.1803464,98.28724865,25.38587754,24.27763113,-4.635556118,-3.59538274,74.00961752,19.48289728,45.67750089,69.51754071,12.29189474,11538604,-5.769592438,-5.36258592
2020,YR2020,Ireland,IRL,133.3372023,114.428561,247.7657633,81.40650576,36.50919418,43.64846252,8.167802878,-21.59544369,37.75804324,37.50449021,156.8445314,55.99052579,34.04510934,4985382,5.097385401,6.184538039
2020,YR2020,Norway,NOR,32.21033778,33.14364126,65.35397904,100.9332746,32.43626802,31.35211573,-1.115965034,-3.05429055,69.58115887,26.88316734,20.03083894,59.60411085,6.587926016,5379475,-1.857696109,-1.278171785
2020,YR2020,Austria,AUT,51.61281493,48.61081631,100.2236312,96.88521868,28.73854199,25.64683077,-2.680620687,0.174756018,71.23838791,25.78114125,27.66859084,62.88559218,16.41186306,8916864,-6.841544703,-6.453968467
2020,YR2020,Denmark,DNK,54.92962126,48.5826383,103.5122596,93.65301652,30.55209879,22.66306024,-0.074235867,2.668952552,70.98995628,19.9990648,41.7133702,65.51786646,13.19164335,5831404,-2.280015264,-1.994607569
2020,YR2020,Russian Federation,RUS,25.52218551,20.44472269,45.9669082,94.92253718,25.76849841,23.45582915,0.634851187,0.39160769,71.46670803,29.71712458,7.548746915,56.3729429,13.40281368,144073139,-2.451026929,-2.653654501
2019,YR2019,Germany,DEU,46.66961299,41.0167969,87.68640989,94.34718391,29.67665162,22.12054381,1.902524713,4.44382847,72.2266401,26.95424472,19.24476363,62.37886021,19.55664131,83092962,0.828957962,1.056603898
2019,YR2019,United Kingdom,GBR,31.25760606,32.87254707,64.13015313,101.614941,15.43526357,18.26686467,0.692697277,-0.752463024,83.34807635,17.66423273,25.00903766,71.08988415,8.707091123,66836327,1.032740842,1.604308648
2019,YR2019,France,FRA,31.59205541,32.54941778,64.14147319,100.9573624,23.76960098,24.36464032,1.960494002,3.091529733,76.59272204,17.42467597,20.61903279,70.04358733,10.00781495,67388001,1.495898988,1.842971814
2019,YR2019,Italy,ITA,31.60241973,28.2765605,59.87898022,96.67414077,21.5433856,18.23967793,1.550498698,1.634217935,78.43446283,21.52700987,12.18821861,66.2531597,14.88415792,59729081,1.648503393,0.483198317
2019,YR2019,Spain,ESP,34.90690181,31.9669887,66.87389052,97.06008689,22.9344685,20.82940925,1.856148637,2.495879568,76.23067764,20.0416214,17.40125286,68.18451514,10.91381623,47134837,1.254631755,1.983966223
2019,YR2019,Netherlands,NLD,82.5377127,72.73296394,155.2706766,90.19525124,29.01453075,22.09641414,-2.001800722,-2.093674268,68.0988371,17.56228053,42.05067326,69.96685341,10.77442485,17344874,1.289889121,1.955588416
2019,YR2019,Switzerland,CHE,66.96539368,57.1622185,124.1276122,90.19682468,31.09476335,26.4377929,1.216424915,8.137591244,63.75903178,24.72115913,38.47571794,71.86188459,17.92353933,8575280,0.423089768,1.141982325
2019,YR2019,Poland,POL,53.19533562,49.49337817,102.6887138,96.29804255,20.25584034,20.49651037,2.955918051,0.900247248,75.80153219,28.63654319,19.11339326,56.88400921,16.92498816,37965475,4.475553602,4.450036364
2019,YR2019,Sweden,SWE,47.80921095,43.62461802,91.43382897,95.81540706,30.39909743,25.12379647,3.093822362,4.288799204,70.69161059,21.90371194,28.60476548,65.51512104,12.80441158,10278887,0.957561656,1.986195874
2019,YR2019,Belgium,BEL,82.39719928,81.76905009,164.1662494,99.37185082,25.09074047,25.0013318,-3.989794483,-4.779161512,74.37051902,19.25934886,46.2912634,69.34728933,12.34546701,11488980,1.710374927,2.261568321
2019,YR2019,Ireland,IRL,127.8796462,124.369852,252.2494982,96.22983578,35.39443351,54.95478605,-11.67810972,-36.08060101,41.27504974,35.43093466,145.0795951,57.46129875,31.58510251,4934340,4.00871471,5.440937334
2019,YR2019,Norway,NOR,36.64092532,34.25489521,70.89582053,97.61394208,33.41545381,29.6114444,3.995134026,1.88072511,68.00249768,29.82445898,23.37155738,57.31028928,6.276062105,5347896,0.443398578,1.123746964
2019,YR2019,Austria,AUT,55.75720636,52.12879115,107.8859975,96.36023699,27.83986512,25.34859295,-2.787548839,-1.611726456,71.01164405,25.18385977,32.0412672,63.12987899,16.591013,8879920,1.066969706,1.517388583
2019,YR2019,Denmark,DNK,58.64718222,51.57764639,110.2248286,92.93046448,30.34387485,21.85308823,-1.097185465,1.827889044,71.07737625,20.70893809,46.17768295,65.07011648,13.40673475,5814422,1.130657494,1.493486959
2019,YR2019,Russian Federation,RUS,28.43343068,20.79532298,49.22875366,92.3618923,26.53727723,22.66151377,1.888517325,1.29484058,69.70037853,32.15049584,9.476404767,54.17294421,12.96920728,144406261,2.243979517,2.198075714
2018,YR2018,Germany,DEU,47.30885914,41.2110119,88.51987104,93.90215276,29.87843174,21.91959471,4.1997218,4.929693035,71.98255805,27.30627405,18.42391486,62.11846856,20.03883582,82905782,0.678212594,0.981232606
2018,YR2018,United Kingdom,GBR,31.23490667,32.76488938,63.99979605,101.5299827,14.03014204,18.10175164,-0.870539118,-0.994809614,83.42823107,17.76046278,24.85480272,70.92013108,8.828734455,66460344,1.090623956,1.705021022
2018,YR2018,France,FRA,31.71366721,32.72428539,64.4379526,101.0106182,23.15691984,23.85725759,2.776578144,4.986679056,77.15336059,17.18837933,20.64611127,70.09621268,9.971751436,67158348,1.500539123,1.865066071
2018,YR2018,Italy,ITA,31.3535542,28.94999704,60.30355124,97.59644284,21.12883754,18.52746022,2.115255482,1.847859213,79.06898262,21.45015172,11.93845487,66.34046167,15.00977875,60421760,1.11781662,0.925810941
2018,YR2018,Spain,ESP,35.14506267,32.42987759,67.57494025,97.28481492,22.34637944,20.46776242,4.123659565,2.680855497,76.8170525,19.86594776,16.72085878,67.87181888,11.02687275,46797754,1.837460464,2.284469419
2018,YR2018,Netherlands,NLD,84.68346368,74.13974653,158.8232102,89.45628286,30.27706737,20.95758714,-36.14034743,-29.90304217,68.49869571,17.80572542,42.73346092,70.03244241,11.05716246,17231624,1.764937264,2.360915095
2018,YR2018,Switzerland,CHE,67.4781861,56.95031822,124.4285043,89.47213212,31.38750609,25.73445323,-22.10530821,-4.573354431,63.73767889,24.42395718,38.58983329,72.06351529,17.66674993,8514329,2.10552472,2.860445795
2018,YR2018,Poland,POL,52.74802893,50.70246686,103.4504958,97.95443794,19.51830914,21.4500688,3.26166053,0.404055947,76.50436914,28.75731364,18.90893512,56.40995135,16.75377356,37974750,5.945420508,5.945208477
2018,YR2018,Sweden,SWE,45.68306151,43.44813688,89.1311984,97.76507537,28.61115354,26.00839715,-0.246421088,2.3052812,71.75667822,22.00243729,26.1829761,65.22629262,13.03144415,10175214,0.772577449,1.950022846
2018,YR2018,Belgium,BEL,83.07962947,83.41515763,166.4947871,100.3355282,24.49856226,25.4159758,-7.657179957,-6.62645482,74.91955236,18.93393077,45.69190082,69.62726725,12.17367734,11427054,1.330652227,1.792945193
2018,YR2018,Ireland,IRL,122.7847151,94.29141688,217.0761319,71.18307206,33.77500251,28.55188014,17.46313891,24.57722233,42.63119192,36.74900479,119.9566923,56.12317997,32.76699178,4867316,7.191314506,8.527541391
2018,YR2018,Norway,NOR,38.22102729,31.7821685,70.00319579,93.56108529,36.69118362,27.72684304,-1.287964042,3.274895708,65.83424226,32.64461227,21.74701353,54.57404711,6.103985902,5311916,0.165560772,0.828931484
2018,YR2018,Austria,AUT,55.46221912,52.46142039,107.9236395,96.99951274,26.76976829,25.72643543,-6.287101585,-5.915302474,71.2730773,25.36642939,30.75758787,62.85933477,16.82875171,8840521,1.92771306,2.425385361
2018,YR2018,Denmark,DNK,56.55980449,50.41519194,106.9749964,93.85538954,29.87983949,22.59928983,2.456000967,1.883918664,71.2560997,20.82449329,43.68583679,64.91700309,13.08842059,5793636,1.485085157,1.989537315
2018,YR2018,Russian Federation,RUS,30.7932568,20.78764357,51.58090037,89.99438677,28.94926849,21.91808915,0.530060793,1.893220022,68.07629762,32.55429805,9.616332221,53.42880552,12.81988325,144477859,2.815524107,2.80724541
2017,YR2017,Germany,DEU,47.16304068,40.07416227,87.23720295,92.91112159,28.83901792,20.96227304,2.966416856,3.945145397,71.94884854,27.46232202,18.16915606,61.79703473,20.39033901,82657002,2.297206047,2.680231114
2017,YR2017,United Kingdom,GBR,30.67244826,32.12711894,62.7995672,101.4546707,14.7423334,18.35014542,4.67148674,6.411202611,83.10452526,17.72228212,23.69976088,70.90730587,8.975073477,66058859,1.749953797,2.44357047
2017,YR2017,France,FRA,30.94863319,32.01321411,62.96184729,101.0645809,22.75294457,23.43619001,1.38212039,1.871587119,77.62839091,17.24115265,20.11206916,70.28536828,10.13628516,66918020,1.994998447,2.291419994
2017,YR2017,Italy,ITA,30.73373332,27.87044263,58.60417595,97.13671507,20.68469514,18.05407117,0.567766927,0.602211377,79.0826439,21.30040502,11.70394856,66.43105972,14.91387042,60536709,1.820333852,1.667859041
2017,YR2017,Spain,ESP,35.13056434,31.52649653,66.65706087,96.39593219,22.17603284,19.40073566,2.403614412,3.513532921,76.99519653,20.04564332,16.45624124,67.81784305,11.32799193,46593236,2.734475155,2.975760729
2017,YR2017,Netherlands,NLD,83.39176802,72.6364432,156.0282112,89.24467517,29.51491611,20.59267408,27.26955737,32.53391623,68.65200109,17.70313732,41.01117433,70.06662639,11.05242052,17131296,2.304284733,2.910902513
